Longitude,Latitude,Solar Energy Potential,Wind Power Density
-159.0,56.0,1063.974986076355,472.33026
-159.0,59.0,1079.3050062656403,369.35553
-135.0,57.0,917.9750382900238,958.34094
-128.0,55.0,999.0049958229065,1433.1104
-126.0,55.0,1163.9849603176117,77.40454
-125.0,49.0,1168.7299644947052,74.20218
-125.0,54.0,1163.2550132274628,239.63728
-124.0,45.0,1292.099986076355,257.66876
-124.0,52.0,1376.0499930381775,239.30109
-124.0,54.0,1240.2700006961823,151.76865
-123.0,38.0,1555.630030632019,1252.9034
-123.0,39.0,1774.6299958229065,160.85782
-123.0,44.0,1353.0550062656403,105.11874
-123.0,45.0,1322.7600264549255,112.130135
-123.0,46.0,1204.1350090503693,161.96089
-123.0,50.0,1134.4200146198273,100.82697
-123.0,53.0,1251.584963798523,143.02011
-122.0,37.0,1729.369969367981,47.989758
-122.0,38.0,1802.3700737953186,103.83032
-122.0,39.0,1744.7000765800476,185.19633
-122.0,40.0,1724.989938735962,262.91464
-122.0,42.0,1651.990008354187,80.47385
-122.0,56.0,1263.2649874687195,187.58942
-121.0,36.0,1850.1849150657654,43.310562
-121.0,37.0,1846.1700320243835,168.25212
-121.0,38.0,1774.265022277832,112.58099
-121.0,39.0,1741.414966583252,83.97129
-121.0,41.0,1705.279974937439,123.22334
-121.0,43.0,1666.9549679756165,191.82724
-121.0,44.0,1622.790036201477,200.39606
-121.0,45.0,1546.140022277832,220.43417
-121.0,46.0,1496.134991645813,132.13129
-121.0,47.0,1453.4300410747528,299.08087
-121.0,50.0,1335.5349707603455,87.76631
-121.0,52.0,1255.964994430542,116.29771
-121.0,55.0,1218.7349951267242,554.7777
-121.0,56.0,1325.679988861084,338.51837
-120.0,36.0,1842.154974937439,148.10313
-120.0,37.0,1784.1200041770935,137.57361
-120.0,38.0,1825.729947090149,41.7581
-120.0,42.0,1685.2050375938416,101.578255
-120.0,45.0,1507.0850682258606,173.92328
-120.0,46.0,1565.849986076355,268.9929
-120.0,47.0,1464.0150570869446,143.19762
-120.0,49.0,1342.4699902534485,230.32945
-120.0,51.0,1263.2649874687195,420.51483
-120.0,56.0,1315.460033416748,276.43353
-119.0,35.0,1875.005030632019,85.02
-119.0,36.0,1795.80002784729,27.126421
-119.0,39.0,1828.284935951233,133.3412
-119.0,44.0,1582.275013923645,139.06543
-119.0,46.0,1468.3949136734009,246.45811
-119.0,47.0,1514.0199136734009,170.87091
-119.0,48.0,1450.1450181007385,146.04982
-119.0,49.0,1324.5849812030792,58.967983
-119.0,50.0,1262.900013923645,78.93766
-119.0,51.0,1138.070011138916,58.08466
-119.0,53.0,1010.685019493103,18.621315
-119.0,55.0,1306.3349986076355,196.52533
-119.0,56.0,1254.8699867725372,309.1046
-118.0,34.0,1780.8350682258606,30.047821
-118.0,35.0,2043.9999651908875,259.86087
-118.0,39.0,1843.980016708374,101.40379
-118.0,41.0,1755.6499791145325,188.00153
-118.0,42.0,1656.0050654411316,96.58989
-118.0,45.0,1570.959963798523,94.517494
-118.0,47.0,1484.4549679756165,209.69577
-118.0,48.0,1377.5099742412567,64.0862
-118.0,56.0,1322.0299923419952,232.4707
-117.0,33.0,1823.9050793647766,83.92054
-117.0,34.0,1868.070011138916,122.605484
-117.0,35.0,2006.770052909851,259.58688
-117.0,37.0,1960.7800793647766,185.57411
-117.0,38.0,1942.5300097465515,142.59189
-117.0,43.0,1604.1749930381775,150.35788
-117.0,44.0,1572.055058479309,161.96277
-117.0,45.0,1535.554919242859,135.81567
-117.0,47.0,1419.1200041770935,160.26692
-117.0,48.0,1308.8899874687195,180.88507
-117.0,55.0,1274.5800375938416,185.77676
-117.0,56.0,1334.4399631023407,240.00948
-116.0,31.0,1938.1499791145325,41.59796
-116.0,32.0,1962.9699206352234,123.23072
-116.0,34.0,2039.254961013794,774.1986
-116.0,36.0,1915.8850264549255,160.41312
-116.0,41.0,1765.504961013794,235.76033
-116.0,42.0,1725.3550863265991,141.9582
-116.0,43.0,1610.0149178504944,306.0709
-116.0,45.0,1557.455072402954,236.2364
-116.0,46.0,1361.085033416748,69.277725
-116.0,50.0,1375.685019493103,173.6916
-115.0,31.0,2002.390022277832,152.91353
-115.0,32.0,1942.5300097465515,113.28081
-115.0,36.0,1896.540036201477,188.1112
-115.0,39.0,1773.535075187683,118.07956
-115.0,41.0,1736.6699624061584,163.52757
-115.0,43.0,1656.370038986206,301.5762
