,Unnamed: 0,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Solar Array Size,Solar CapEx,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Solar,Yearly Cost Wind,Elec Cost Solar,Elec Cost Wind,Cheaper source,Yearly gen. cost,Gen. cost per kg H2
0,0,-159.0,56.0,1063.974986076355,472.33026,4944,-152.4157358174603,57.783555,447.5045175597334 km,491827.2,2735.447542734961,1914813.2799144727,1483.869274884157,0.32689849104365376,823784.1974300075,208099.56937359937,107187.82219140486,71.50087768221107,36.82863634268783,Wind,241890207.03797212,4.8378041407594425
1,1,-159.0,59.0,1079.3050062656405,369.35553,4944,-152.4157358174603,57.783555,408.02024289926123 km,,2696.594330887135,1887616.0316209947,1160.3646196107643,0.4180363815542621,1053451.6815167405,205143.80563549095,130579.9627404944,70.48530757732253,44.86593591596475,Wind,241913599.1785212,4.838271983570424
2,2,-135.0,57.0,917.9750382900238,958.34094,3146,-130.00012658113093,55.90287,331.53387693717167 km,1852191.1,3170.5086083991173,2219356.025879382,3010.716856738337,0.1611159899610014,406012.29470172356,241196.9031741994,64636.83111427874,82.87278211626338,22.208552229008596,Wind,241847656.046895,4.8369531209379
3,3,-128.0,55.0,999.0049958229064,1433.1104,3679,-128.6718224560537,53.977895,121.8188056016047 km,207827.3,2913.346553183769,2039342.5872286384,4502.24910442313,0.10774051271155151,271506.0920331098,221633.2624486902,50937.077272066075,76.15091581570381,17.50145731912014,Wind,241833956.29305276,4.836679125861055
4,4,-126.0,55.0,1163.9849603176117,77.40454,3679,-128.6718224560537,53.977895,207.16071533791597 km,422994.8,2500.416981676351,1750291.8871734457,243.17353421849725,1.994767351737465,5026813.726378412,190219.58528257522,535275.6634637259,65.35749853298739,183.91522795933147,Solar,241973238.80106327,4.8394647760212655
5,5,-125.0,49.0,1168.7299644947052,74.20218,149,-125.00189345292245,48.99731080513448,0.3295997986872414 km,0.0,2490.2653731928126,1743185.761234969,233.1130235683475,2.0808559703806093,5243757.045359136,189447.30019179205,557371.8196913379,65.09214929666702,191.50724061189558,Solar,241972466.5159725,4.83944933031945
6,6,-125.0,54.0,1163.2550132274628,239.63728,3679,-128.6718224560537,53.977895,240.8319630722674 km,481960.6,2501.9860031541693,1751390.2022079185,752.8427183742403,0.6443239936134171,1623696.463905811,190338.94881953613,188660.6533966981,65.39851062004576,64.82186552604499,Wind,241971679.8691774,4.839433597383548
7,7,-124.0,45.0,1292.099986076355,257.66876,3837,-123.9061330086587,46.18408,131.80625344692854 km,171927.3,2252.4942284319786,1576745.959902385,809.4902834755917,0.599234650208495,1510071.3185254072,171358.8257973147,177087.68136185236,58.8771350175389,60.84551103202107,Solar,241954378.04157802,4.839087560831561
8,8,-124.0,52.0,1376.0499930381775,239.30109,2283,-123.90600187203916,49.17560352478176,314.2572302797283 km,948832.3,2115.0741440491265,1480551.9008343886,751.78654634003,0.6452291933490845,1625977.567239693,160904.5729057519,188892.9888098078,55.2851609471045,64.90169359106217,Solar,241943923.78868645,4.838878475773729
9,9,-124.0,54.0,1240.2700006961825,151.76865,4295,-127.11577535720149,50.599415,433.904714189744 km,1335193.0,2346.6243314442427,1642637.03201097,476.79527588524064,1.0173645826608897,2563758.748305442,178519.78706450085,284408.0734941372,61.33756786318747,97.71969704670356,Solar,241961539.0028452,4.839230780056904
10,10,-123.0,38.0,1555.630030632019,1252.9034,25477,-122.36638765475,38.074189145000005,56.2298238976564 km,85534.4,1870.912558824528,1309638.7911771697,3936.112117097674,0.12323699438301203,310557.2258451903,142329.94482423022,54914.521507874895,48.90310924729962,18.868066364244196,Wind,241837933.7372886,4.836758674745772
11,11,-123.0,39.0,1774.6299958229065,160.85782,25477,-122.36638765475,38.074189145000005,116.67709047085317 km,150105.9,1640.0307489699778,1148021.5242789844,505.3497455844693,0.9598790364575167,2418895.1718729422,124765.5775840194,269653.39825646585,42.86817281091949,92.65014196504212,Solar,241907784.79336473,4.838155695867295
12,12,-123.0,44.0,1353.0550062656405,105.11874,3772,-124.19684561280556,43.394895000000005,117.59287355246934 km,177787.7,2151.0195429723954,1505713.6800806767,330.24026133861554,1.4688536912472188,3701511.301942991,163639.12435301364,400290.68417630176,56.22472477770213,137.53577353749856,Solar,241946658.34013373,4.838933166802675
13,13,-123.0,45.0,1322.7600264549255,112.130135,3674,-122.768689375,45.58885,67.91199946917735 km,82431.6,2200.2840295939395,1540198.8207157576,352.2672083620318,1.3770076105612166,3470059.1786142658,167386.92733266967,376716.7741784628,57.512431442507015,129.43601984593337,Solar,241950406.14311337,4.839008122862268
14,14,-123.0,46.0,1204.1350090503693,161.96089,4038,-122.95979285813186,46.116775,13.347513630298392 km,29528.5,2417.044383992564,1691931.0687947946,508.81514219286464,0.9533415707227632,2402420.758221363,183877.00279670974,267975.4428369863,63.17825224297207,92.07361369270811,Solar,241966896.2185774,4.839337924371549
15,15,-123.0,50.0,1134.4200146198273,100.82697,1934,-123.2597273115,49.1586226685,95.44510763341903 km,143798.2,2565.5821685845294,1795907.5180091707,316.7572682357185,1.5313764686993634,3859068.7011223957,195177.0363474871,416338.2532991549,67.06082787323916,143.04955369765835,Solar,241978196.25212818,4.8395639250425635
16,16,-123.0,53.0,1251.584963798523,143.02011,1934,-123.2597273115,49.1586226685,427.73872276738234 km,718795.0,2325.4096568569407,1627786.7597998586,449.31092689160414,1.079596773266757,2720583.8686322276,176905.87761200793,300381.05839837674,60.783045128228366,103.20785083431407,Solar,241959925.0933927,4.839198501867854
17,17,-122.0,37.0,1729.369969367981,47.989758,17916,-122.3300105515,37.7191834425,85.00376909053449 km,116217.9,1682.9526433014723,1178066.8503110306,150.764271180352,3.2174375471586387,8107942.61883977,128030.8669334005,849095.4468297428,43.99009274121966,291.7404868594501,Solar,241911050.0827141,4.838221001654282
18,18,-122.0,38.0,1802.3700737953184,103.83032,6756,-122.0517320178623,38.02614,5.390433671432809 km,10399.4,1614.7892175469772,1130352.452282884,326.1925705318774,1.4870805489981795,3747442.9834754122,122845.32441250187,404968.92739534035,42.20839351609039,139.1431699255785,Solar,241905864.5401932,4.838117290803864
19,19,-122.0,39.0,1744.7000765800476,185.19633,6367,-121.55685725036533,38.561485000000005,62.068078726904595 km,88344.8,1668.165090528955,1167715.5633702686,581.811429799791,0.833731690407994,2101003.859828145,126905.90170706189,237275.46595901382,43.6035662275546,81.5254165089945,Solar,241909925.11748776,4.838198502349755
20,20,-122.0,40.0,1724.989938735962,262.91464,6367,-121.55685725036533,38.561485000000005,164.2177668177324 km,179198.7,1687.2259343882015,1181058.154071741,825.9707015452054,0.5872782484393285,1479941.1860671078,128355.95817388807,174018.86081884045,44.10179075718206,59.79109576852467,Solar,241911375.1739546,4.838227503479092
